	index	Unnamed: 0	combo	count	is combo	is color combo	is animal	is color	is adjective	adjective	animal	adjective count	animal count	forward tp	backward tp	canonical color	canonical color count	most common non-canonical color	most common non-canonical color count
124	124	175	gold goat	5	True	True	False	False	False	gold	goat	71065.0	14588.0	7.035812284528248e-05	0.00034274746366876887	white goat	13.0	black goat	38.0
125	125	384	brown shark	5	True	True	False	False	False	brown	shark	31879.0	17984.0	0.00015684306283133097	0.0002780249110320285	grey shark	4.0	white shark	456.0
126	126	336	brown pigeon	5	True	True	False	False	False	brown	pigeon	31879.0	8449.0	0.00015684306283133097	0.0005917860101787194	grey pigeon	4.0	white pigeon	22.0
127	127	121	orange elephant	5	True	True	False	False	False	orange	elephant	15508.0	15994.0	0.0003224142378127418	0.0003126172314617982	grey elephant	13.0	white elephant	251.0
128	128	378	blue rhino	5	True	True	False	False	False	blue	rhino	78290.0	2517.0	6.386511687316388e-05	0.001986491855383393	grey rhino	0.0	black rhino	94.0
129	129	81	black deer	5	True	True	False	False	False	black	deer	144548.0	7936.0	3.4590585826161553e-05	0.0006300403225806451	brown deer	2.0	red deer	103.0
130	130	419	white skunk	4	True	True	False	False	False	white	skunk	134712.0	2392.0	2.9692974642199656e-05	0.0016722408026755853	black skunk	2.0	white skunk	4.0
131	131	2	grey bat	4	True	True	False	False	False	grey	bat	26562.0	20680.0	0.00015059106994955198	0.00019342359767891682	black bat	63.0	brown bat	10.0
132	132	346	blue pigeon	4	True	True	False	False	False	blue	pigeon	78290.0	8449.0	5.10920934985311e-05	0.0004734288081429755	grey pigeon	4.0	white pigeon	22.0
133	133	338	grey pigeon	4	True	True	False	False	False	grey	pigeon	26562.0	8449.0	0.00015059106994955198	0.0004734288081429755	grey pigeon	4.0	white pigeon	22.0
134	134	467	white zebra	4	True	True	False	False	False	white	zebra	134712.0	2465.0	2.9692974642199656e-05	0.0016227180527383367	black zebra	6.0	blue zebra	9.0
135	135	10	blue bat	4	True	True	False	False	False	blue	bat	78290.0	20680.0	5.10920934985311e-05	0.00019342359767891682	black bat	63.0	brown bat	10.0
136	136	192	brown grizzly	4	True	True	False	False	False	brown	grizzly	31879.0	1945.0	0.00012547445026506477	0.002056555269922879	brown grizzly	4.0	grey grizzly	1.0
137	137	454	light swan	4	True	True	False	False	False	light	swan	141371.0	6153.0	2.8294346082294106e-05	0.0006500893872907525	white swan	175.0	black swan	322.0
138	138	154	blue giraffe	4	True	True	False	False	False	blue	giraffe	78290.0	2320.0	5.10920934985311e-05	0.0017241379310344827	brown giraffe	1.0	yellow giraffe	5.0
139	139	110	red dolphin	4	True	True	False	False	False	red	dolphin	121668.0	6285.0	3.287635203997764e-05	0.0006364359586316627	grey dolphin	7.0	blue dolphin	19.0
140	140	424	yellow skunk	4	True	True	False	False	False	yellow	skunk	24626.0	2392.0	0.00016242995208316414	0.0016722408026755853	black skunk	2.0	white skunk	4.0
141	141	289	black panda	4	True	True	False	False	False	black	panda	144548.0	3735.0	2.767246866092924e-05	0.00107095046854083	black panda	4.0	red panda	67.0
142	142	404	pink sheep	4	True	True	False	False	False	pink	sheep	17616.0	14547.0	0.00022706630336058128	0.0002749707843541624	white sheep	43.0	black sheep	866.0
143	143	386	grey shark	4	True	True	False	False	False	grey	shark	26562.0	17984.0	0.00015059106994955198	0.00022241992882562276	grey shark	4.0	white shark	456.0
144	144	402	grey sheep	3	True	True	False	False	False	grey	sheep	26562.0	14547.0	0.00011294330246216399	0.00020622808826562179	white sheep	43.0	black sheep	866.0
145	145	168	yellow goat	3	True	True	False	False	False	yellow	goat	24626.0	14588.0	0.0001218224640623731	0.0002056484782012613	white goat	13.0	black goat	38.0
146	146	129	black flamingo	3	True	True	False	False	False	black	flamingo	144548.0	1259.0	2.075435149569693e-05	0.0023828435266084196	pink flamingo	102.0	black flamingo	3.0
147	147	180	pink gorilla	3	True	True	False	False	False	pink	gorilla	17616.0	5594.0	0.00017029972752043596	0.0005362888809438684	black gorilla	6.0	white gorilla	18.0
148	148	6	light bat	3	True	True	False	False	False	light	bat	141371.0	20680.0	2.1220759561720578e-05	0.0001450676982591876	black bat	63.0	brown bat	10.0
149	149	398	red shark	3	True	True	False	False	False	red	shark	121668.0	17984.0	2.465726402998323e-05	0.0001668149466192171	grey shark	4.0	white shark	456.0
150	150	400	brown sheep	3	True	True	False	False	False	brown	sheep	31879.0	14547.0	9.410583769879859e-05	0.00020622808826562179	white sheep	43.0	black sheep	866.0
151	151	328	yellow pig	3	True	True	False	False	False	yellow	pig	24626.0	39569.0	0.0001218224640623731	7.581692739265587e-05	pink pig	27.0	black pig	52.0
152	152	212	pink hippo	3	True	True	False	False	False	pink	hippo	17616.0	1778.0	0.00017029972752043596	0.001687289088863892	grey hippo	0.0	pink hippo	3.0
153	153	247	spots lion	3	True	True	False	False	False	spots	lion	8401.0	22565.0	0.00035710034519700033	0.00013294925769997783	brown lion	1.0	red lion	196.0
154	154	430	red skunk	3	True	True	False	False	False	red	skunk	121668.0	2392.0	2.465726402998323e-05	0.001254180602006689	black skunk	2.0	white skunk	4.0
155	155	405	dark sheep	3	True	True	False	False	False	dark	sheep	83873.0	14547.0	3.5768364074255126e-05	0.00020622808826562179	white sheep	43.0	black sheep	866.0
156	156	382	red rhino	3	True	True	False	False	False	red	rhino	121668.0	2517.0	2.465726402998323e-05	0.0011918951132300357	grey rhino	0.0	black rhino	94.0
157	157	148	pink giraffe	3	True	True	False	False	False	pink	giraffe	17616.0	2320.0	0.00017029972752043596	0.001293103448275862	brown giraffe	1.0	yellow giraffe	5.0
158	158	376	yellow rhino	3	True	True	False	False	False	yellow	rhino	24626.0	2517.0	0.0001218224640623731	0.0011918951132300357	grey rhino	0.0	black rhino	94.0
159	159	472	yellow zebra	2	True	True	False	False	False	yellow	zebra	24626.0	2465.0	8.121497604158207e-05	0.0008113590263691683	black zebra	6.0	blue zebra	9.0
160	160	298	blue panda	2	True	True	False	False	False	blue	panda	78290.0	3735.0	2.554604674926555e-05	0.000535475234270415	black panda	4.0	red panda	67.0
161	161	414	red sheep	2	True	True	False	False	False	red	sheep	121668.0	14547.0	1.643817601998882e-05	0.0001374853921770812	white sheep	43.0	black sheep	866.0
162	162	340	pink pigeon	2	True	True	False	False	False	pink	pigeon	17616.0	8449.0	0.00011353315168029064	0.00023671440407148776	grey pigeon	4.0	white pigeon	22.0
163	163	90	blue deer	2	True	True	False	False	False	blue	deer	78290.0	7936.0	2.554604674926555e-05	0.00025201612903225806	brown deer	2.0	red deer	103.0
164	164	69	dark crow	2	True	True	False	False	False	dark	crow	83873.0	7850.0	2.3845576049503416e-05	0.00025477707006369424	black crow	141.0	white crow	45.0
165	165	291	white panda	2	True	True	False	False	False	white	panda	134712.0	3735.0	1.4846487321099828e-05	0.000535475234270415	black panda	4.0	red panda	67.0
166	166	186	blue gorilla	2	True	True	False	False	False	blue	gorilla	78290.0	5594.0	2.554604674926555e-05	0.0003575259206292456	black gorilla	6.0	white gorilla	18.0
167	167	313	orange panther	2	True	True	False	False	False	orange	panther	15508.0	4562.0	0.00012896569512509673	0.00043840420868040335	black panther	724.0	pink panther	338.0
168	168	174	red goat	2	True	True	False	False	False	red	goat	121668.0	14588.0	1.643817601998882e-05	0.00013709898546750753	white goat	13.0	black goat	38.0
169	169	310	light panther	2	True	True	False	False	False	light	panther	141371.0	4562.0	1.4147173041147053e-05	0.00043840420868040335	black panther	724.0	pink panther	338.0
170	170	463	gold swan	2	True	True	False	False	False	gold	swan	71065.0	6153.0	2.8143249138112994e-05	0.00032504469364537625	white swan	175.0	black swan	322.0
171	171	417	black skunk	2	True	True	False	False	False	black	skunk	144548.0	2392.0	1.383623433046462e-05	0.0008361204013377926	black skunk	2.0	white skunk	4.0
172	172	416	brown skunk	2	True	True	False	False	False	brown	skunk	31879.0	2392.0	6.273722513253239e-05	0.0008361204013377926	black skunk	2.0	white skunk	4.0
173	173	218	blue hippo	2	True	True	False	False	False	blue	hippo	78290.0	1778.0	2.554604674926555e-05	0.0011248593925759281	grey hippo	0.0	pink hippo	3.0
174	174	35	white boar	2	True	True	False	False	False	white	boar	134712.0	3173.0	1.4846487321099828e-05	0.0006303183107469272	brown boar	0.0	blue boar	40.0
175	175	9	orange bat	2	True	True	False	False	False	orange	bat	15508.0	20680.0	0.00012896569512509673	9.671179883945841e-05	black bat	63.0	brown bat	10.0
176	176	151	spots giraffe	2	True	True	False	False	False	spots	giraffe	8401.0	2320.0	0.00023806689679800025	0.0008620689655172414	brown giraffe	1.0	yellow giraffe	5.0
177	177	142	red flamingo	2	True	True	False	False	False	red	flamingo	121668.0	1259.0	1.643817601998882e-05	0.0015885623510722795	pink flamingo	102.0	black flamingo	3.0
178	178	33	black boar	2	True	True	False	False	False	black	boar	144548.0	3173.0	1.383623433046462e-05	0.0006303183107469272	brown boar	0.0	blue boar	40.0
179	179	138	blue flamingo	2	True	True	False	False	False	blue	flamingo	78290.0	1259.0	2.554604674926555e-05	0.0015885623510722795	pink flamingo	102.0	black flamingo	3.0
